gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Attendance,Hours_Studied,Final_Score
male,group B,high school,standard,none,59,58,47,70,4.4,54.7
female,group C,some college,standard,completed,70,72,76,84,3.4,72.7
male,group B,associate's degree,standard,completed,82,84,78,90,6.8,81.3
male,group E,associate's degree,free/reduced,none,90,90,82,63,4.7,87.3
female,group C,bachelor's degree,free/reduced,none,43,62,61,72,1.2,55.3
male,group C,some college,free/reduced,none,80,64,66,70,2.4,70.0
male,group D,some college,standard,none,81,82,84,67,7.4,82.3
male,group C,some high school,standard,none,57,61,54,65,6.9,57.3
female,group D,some high school,standard,none,59,72,80,70,1.2,70.3
female,group D,associate's degree,standard,none,64,76,74,82,3.0,71.3
male,group C,bachelor's degree,standard,completed,63,64,66,89,3.1,64.3
female,group E,bachelor's degree,standard,completed,71,70,70,84,7.0,70.3
female,group B,high school,free/reduced,none,64,73,71,69,1.2,69.3
male,group D,bachelor's degree,free/reduced,none,55,46,44,71,1.9,48.3
female,group E,associate's degree,standard,none,51,51,54,66,8.2,52.0
female,group C,associate's degree,standard,completed,62,76,80,92,2.6,72.7
female,group E,associate's degree,standard,completed,93,100,95,87,6.9,96.0
male,group C,high school,free/reduced,none,54,72,59,61,3.1,61.7
female,group D,some college,free/reduced,none,69,65,74,79,1.9,69.3
male,group D,high school,free/reduced,none,44,51,48,60,3.2,47.7
female,group E,some college,standard,completed,86,85,91,84,7.5,87.3
female,group E,associate's degree,standard,none,85,92,85,73,8.7,87.3
female,group A,master's degree,free/reduced,none,50,67,73,76,8.5,63.3
male,group D,some high school,standard,completed,88,74,75,88,4.6,79.0
female,group E,associate's degree,standard,none,59,62,69,75,7.0,63.3
female,group E,some high school,free/reduced,none,32,34,38,74,2.8,34.7
male,group B,high school,free/reduced,none,36,29,27,65,3.6,30.7
female,group B,some high school,free/reduced,completed,63,78,79,77,9.1,73.3
male,group D,associate's degree,standard,completed,67,54,63,96,1.1,61.3
female,group D,some high school,standard,completed,65,78,82,84,1.8,75.0
male,group D,master's degree,standard,none,85,84,89,76,2.9,86.0
female,group C,master's degree,standard,none,73,78,74,82,1.2,75.0
female,group A,high school,free/reduced,completed,34,48,41,88,2.6,41.0
female,group D,bachelor's degree,free/reduced,completed,93,100,100,95,6.2,97.7
female,group D,some high school,free/reduced,none,67,84,84,70,4.8,78.3
male,group D,some college,standard,none,88,77,77,73,9.0,80.7
male,group B,high school,standard,none,57,48,51,66,8.4,52.0
female,group D,some college,standard,completed,79,84,91,91,4.1,84.7
female,group C,bachelor's degree,free/reduced,none,67,75,72,62,3.3,71.3
male,group E,bachelor's degree,standard,completed,70,64,70,82,4.4,68.0
male,group D,bachelor's degree,free/reduced,none,50,42,48,60,6.3,46.7
female,group A,some college,standard,none,69,84,82,72,3.4,78.3
female,group C,bachelor's degree,standard,completed,52,61,66,87,6.6,59.7
female,group C,bachelor's degree,free/reduced,completed,47,62,66,85,4.7,58.3
female,group B,associate's degree,free/reduced,none,46,61,55,68,6.0,54.0
female,group E,some college,standard,none,68,70,66,69,4.9,68.0
male,group E,bachelor's degree,standard,completed,100,100,100,93,3.7,100.0
female,group C,high school,standard,none,44,61,52,67,9.5,52.3
female,group C,associate's degree,standard,completed,57,77,80,100,7.9,71.3
male,group B,some college,standard,completed,91,96,91,84,2.3,92.7
male,group D,high school,free/reduced,none,69,70,67,64,8.8,68.7
female,group C,high school,free/reduced,none,35,53,46,78,5.4,44.7
male,group D,high school,standard,none,72,66,66,78,9.1,68.0
female,group B,associate's degree,free/reduced,none,54,65,65,63,8.2,61.3
male,group D,high school,free/reduced,none,74,70,69,72,4.8,71.0
male,group E,some high school,standard,completed,74,64,60,89,1.2,66.0
male,group E,associate's degree,free/reduced,none,64,56,52,77,3.4,57.3
female,group D,high school,free/reduced,completed,65,61,71,82,5.9,65.7
male,group E,associate's degree,free/reduced,completed,46,43,44,82,6.7,44.3
female,group C,some high school,free/reduced,none,48,56,51,66,3.3,51.7
male,group C,some college,free/reduced,completed,67,74,70,82,2.3,70.3
male,group D,some college,free/reduced,none,62,57,62,73,8.5,60.3
male,group D,associate's degree,free/reduced,completed,61,71,73,93,9.9,68.3
male,group C,bachelor's degree,free/reduced,completed,70,75,74,80,5.7,73.0
male,group C,associate's degree,standard,completed,98,87,90,80,2.5,91.7
male,group D,some college,free/reduced,none,70,63,58,74,3.5,63.7
male,group A,associate's degree,standard,none,67,57,53,65,1.2,59.0
female,group E,high school,free/reduced,none,57,58,57,76,9.2,57.3
male,group D,some college,standard,completed,85,81,85,80,2.1,83.7
male,group D,some high school,standard,completed,77,68,69,94,6.2,71.3
male,group C,master's degree,free/reduced,completed,72,66,72,76,3.5,70.0
female,group D,master's degree,standard,none,78,91,96,78,6.0,88.3
male,group C,high school,standard,none,81,66,64,85,6.9,70.3
male,group A,some high school,free/reduced,completed,61,62,61,82,8.5,61.3
female,group B,high school,standard,none,58,68,61,72,2.9,62.3
female,group C,associate's degree,standard,none,54,61,58,83,1.1,57.7
male,group B,high school,standard,none,82,82,80,71,2.2,81.3
female,group D,some college,free/reduced,none,49,58,60,78,9.1,55.7
male,group B,some high school,free/reduced,completed,49,50,52,80,8.9,50.3
female,group E,high school,free/reduced,completed,57,75,73,80,6.4,68.3
male,group E,high school,standard,none,94,73,71,67,6.4,79.3
female,group D,some college,standard,completed,75,77,83,86,7.0,78.3
female,group E,some high school,free/reduced,none,74,74,72,78,2.6,73.3
male,group C,high school,standard,completed,58,52,54,87,9.2,54.7
female,group C,some college,standard,none,62,69,69,74,4.8,66.7
male,group E,associate's degree,standard,none,72,57,62,84,4.4,63.7
male,group C,some college,standard,none,84,87,81,79,5.7,84.0
female,group D,master's degree,standard,none,92,100,100,79,1.4,97.3
female,group D,high school,standard,none,45,63,59,65,2.5,55.7
male,group C,high school,standard,none,75,81,71,84,7.6,75.7
female,group A,some college,standard,none,56,58,64,71,1.7,59.3
female,group D,some high school,free/reduced,none,48,54,53,63,6.4,51.7
female,group E,associate's degree,standard,none,100,100,100,70,3.2,100.0
female,group C,some high school,free/reduced,completed,65,76,75,75,4.5,72.0
male,group D,some college,standard,none,72,57,58,69,3.6,62.3
female,group D,some college,standard,none,62,70,72,65,4.2,68.0
male,group A,some high school,standard,completed,66,68,64,83,7.5,66.0
male,group C,some college,standard,none,63,63,60,66,3.7,62.0
female,group E,associate's degree,standard,none,68,76,67,74,6.1,70.3
female,group B,bachelor's degree,standard,none,75,84,80,69,5.3,79.7
female,group D,bachelor's degree,standard,none,89,100,100,74,7.0,96.3
male,group C,some high school,standard,completed,78,72,69,80,9.4,73.0
female,group A,high school,free/reduced,completed,53,50,60,80,7.6,54.3
female,group D,some college,free/reduced,none,49,65,61,72,2.9,58.3
female,group A,some college,standard,none,54,63,67,79,1.3,61.3
female,group C,some college,standard,completed,64,82,77,83,3.4,74.3
male,group B,some college,free/reduced,completed,60,62,60,87,6.4,60.7
male,group C,associate's degree,standard,none,62,65,58,84,1.5,61.7
male,group D,high school,standard,completed,55,41,48,94,5.5,48.0
female,group C,associate's degree,standard,none,91,95,94,72,6.4,93.3
female,group B,high school,free/reduced,none,8,24,23,64,4.0,18.3
male,group D,some high school,standard,none,81,78,78,79,7.9,79.0
male,group B,some high school,standard,completed,79,85,86,83,2.0,83.3
female,group A,some college,standard,completed,78,87,91,91,1.7,85.3
female,group C,some high school,standard,none,74,75,82,77,7.6,77.0
male,group A,high school,standard,none,57,51,54,66,5.5,54.0
female,group C,associate's degree,standard,none,40,59,51,83,7.2,50.0
male,group E,some high school,standard,completed,81,75,76,98,4.9,77.3
female,group A,some high school,free/reduced,none,44,45,45,63,3.2,44.7
female,group D,some college,free/reduced,completed,67,86,83,78,8.4,78.7
male,group E,high school,free/reduced,completed,86,81,75,85,8.2,80.7
female,group B,some high school,standard,completed,65,82,78,84,7.3,75.0
female,group D,associate's degree,free/reduced,none,55,76,76,79,3.4,69.0
female,group D,bachelor's degree,free/reduced,none,62,72,74,70,6.3,69.3
male,group A,high school,standard,none,63,63,62,74,4.2,62.7
female,group E,master's degree,standard,completed,88,99,95,87,1.8,94.0
male,group C,high school,free/reduced,none,62,55,55,65,9.3,57.3
female,group C,high school,free/reduced,completed,59,71,65,80,2.2,65.0
female,group D,some college,standard,completed,68,78,77,87,9.6,74.3
female,group D,some college,free/reduced,none,77,86,86,74,5.0,83.0
